**********
SEMILLA 10
**********
Iteración 410	 Error de entrenamiento: 0.479026
Iteración 411	 Error de entrenamiento: 0.479029
Iteración 412	 Error de entrenamiento: 0.479031
Iteración 413	 Error de entrenamiento: 0.479034
Iteración 414	 Error de entrenamiento: 0.479036
Iteración 415	 Error de entrenamiento: 0.479038
Iteración 416	 Error de entrenamiento: 0.479041
Iteración 417	 Error de entrenamiento: 0.479043
Iteración 418	 Error de entrenamiento: 0.479045
Iteración 419	 Error de entrenamiento: 0.479047
Iteración 420	 Error de entrenamiento: 0.479049
Iteración 421	 Error de entrenamiento: 0.479051
Iteración 422	 Error de entrenamiento: 0.479054
Iteración 423	 Error de entrenamiento: 0.479056
Iteración 424	 Error de entrenamiento: 0.479058
Iteración 425	 Error de entrenamiento: 0.479059
Iteración 426	 Error de entrenamiento: 0.479061
Iteración 427	 Error de entrenamiento: 0.479063
Iteración 428	 Error de entrenamiento: 0.479065
Iteración 429	 Error de entrenamiento: 0.479067
Iteración 430	 Error de entrenamiento: 0.479069
Iteración 431	 Error de entrenamiento: 0.47907
Iteración 432	 Error de entrenamiento: 0.479072
Iteración 433	 Error de entrenamiento: 0.479074
Iteración 434	 Error de entrenamiento: 0.479076
Iteración 435	 Error de entrenamiento: 0.479077
Iteración 436	 Error de entrenamiento: 0.479079
Iteración 437	 Error de entrenamiento: 0.47908
Iteración 438	 Error de entrenamiento: 0.479082
Iteración 439	 Error de entrenamiento: 0.479083
Iteración 440	 Error de entrenamiento: 0.479085
Iteración 441	 Error de entrenamiento: 0.479086
Iteración 442	 Error de entrenamiento: 0.479088
Iteración 443	 Error de entrenamiento: 0.479089
Iteración 444	 Error de entrenamiento: 0.479091
Iteración 445	 Error de entrenamiento: 0.479092
Iteración 446	 Error de entrenamiento: 0.479093
Iteración 447	 Error de entrenamiento: 0.479095
Iteración 448	 Error de entrenamiento: 0.479096
Iteración 449	 Error de entrenamiento: 0.479097
Iteración 450	 Error de entrenamiento: 0.479098
Iteración 451	 Error de entrenamiento: 0.4791
Iteración 452	 Error de entrenamiento: 0.479101
Iteración 453	 Error de entrenamiento: 0.479102
Iteración 454	 Error de entrenamiento: 0.479103
Iteración 455	 Error de entrenamiento: 0.479104
Iteración 456	 Error de entrenamiento: 0.479105
Iteración 457	 Error de entrenamiento: 0.479106
Iteración 458	 Error de entrenamiento: 0.479108
Iteración 459	 Error de entrenamiento: 0.479109
Iteración 460	 Error de entrenamiento: 0.47911
Iteración 461	 Error de entrenamiento: 0.479111
Iteración 462	 Error de entrenamiento: 0.479112
Iteración 463	 Error de entrenamiento: 0.479113
Iteración 464	 Error de entrenamiento: 0.479114
Iteración 465	 Error de entrenamiento: 0.479115
Iteración 466	 Error de entrenamiento: 0.479116
Iteración 467	 Error de entrenamiento: 0.479116
Iteración 468	 Error de entrenamiento: 0.479117
Iteración 469	 Error de entrenamiento: 0.479118
Iteración 470	 Error de entrenamiento: 0.479119
Iteración 471	 Error de entrenamiento: 0.47912
Iteración 472	 Error de entrenamiento: 0.479121
Iteración 473	 Error de entrenamiento: 0.479122
Iteración 474	 Error de entrenamiento: 0.479122
Iteración 475	 Error de entrenamiento: 0.479123
Iteración 476	 Error de entrenamiento: 0.479124
Iteración 477	 Error de entrenamiento: 0.479125
Iteración 478	 Error de entrenamiento: 0.479125
Iteración 479	 Error de entrenamiento: 0.479126
Iteración 480	 Error de entrenamiento: 0.479127
Iteración 481	 Error de entrenamiento: 0.479128
Iteración 482	 Error de entrenamiento: 0.479128
Iteración 483	 Error de entrenamiento: 0.479129
Iteración 484	 Error de entrenamiento: 0.47913
Iteración 485	 Error de entrenamiento: 0.47913
Iteración 486	 Error de entrenamiento: 0.479131
Iteración 487	 Error de entrenamiento: 0.479132
Iteración 488	 Error de entrenamiento: 0.479132
Iteración 489	 Error de entrenamiento: 0.479133
Iteración 490	 Error de entrenamiento: 0.479134
Iteración 491	 Error de entrenamiento: 0.479134
Iteración 492	 Error de entrenamiento: 0.479135
Iteración 493	 Error de entrenamiento: 0.479135
Iteración 494	 Error de entrenamiento: 0.479136
Iteración 495	 Error de entrenamiento: 0.479136
Iteración 496	 Error de entrenamiento: 0.479137
Iteración 497	 Error de entrenamiento: 0.479137
Iteración 498	 Error de entrenamiento: 0.479138
Iteración 499	 Error de entrenamiento: 0.479138
Iteración 500	 Error de entrenamiento: 0.479139
Iteración 501	 Error de entrenamiento: 0.479139
Iteración 502	 Error de entrenamiento: 0.47914
Iteración 503	 Error de entrenamiento: 0.47914
Iteración 504	 Error de entrenamiento: 0.479141
Iteración 505	 Error de entrenamiento: 0.479141
Iteración 506	 Error de entrenamiento: 0.479142
Iteración 507	 Error de entrenamiento: 0.479142
Iteración 508	 Error de entrenamiento: 0.479143
Iteración 509	 Error de entrenamiento: 0.479143
Iteración 510	 Error de entrenamiento: 0.479144
Iteración 511	 Error de entrenamiento: 0.479144
Iteración 512	 Error de entrenamiento: 0.479144
Iteración 513	 Error de entrenamiento: 0.479145
Iteración 514	 Error de entrenamiento: 0.479145
Iteración 515	 Error de entrenamiento: 0.479146
Iteración 516	 Error de entrenamiento: 0.479146
Iteración 517	 Error de entrenamiento: 0.479146
Iteración 518	 Error de entrenamiento: 0.479147
Iteración 519	 Error de entrenamiento: 0.479147
Iteración 520	 Error de entrenamiento: 0.479147
Iteración 521	 Error de entrenamiento: 0.479148
Iteración 522	 Error de entrenamiento: 0.479148
Iteración 523	 Error de entrenamiento: 0.479148
Iteración 524	 Error de entrenamiento: 0.479149
Iteración 525	 Error de entrenamiento: 0.479149
Iteración 526	 Error de entrenamiento: 0.479149
Iteración 527	 Error de entrenamiento: 0.47915
Iteración 528	 Error de entrenamiento: 0.47915
Iteración 529	 Error de entrenamiento: 0.47915
Iteración 530	 Error de entrenamiento: 0.479151
Iteración 531	 Error de entrenamiento: 0.479151
Iteración 532	 Error de entrenamiento: 0.479151
Iteración 533	 Error de entrenamiento: 0.479151
Iteración 534	 Error de entrenamiento: 0.479152
Iteración 535	 Error de entrenamiento: 0.479152
Iteración 536	 Error de entrenamiento: 0.479152
Iteración 537	 Error de entrenamiento: 0.479152
Iteración 538	 Error de entrenamiento: 0.479153
Iteración 539	 Error de entrenamiento: 0.479153
Iteración 540	 Error de entrenamiento: 0.479153
Iteración 541	 Error de entrenamiento: 0.479153
Iteración 542	 Error de entrenamiento: 0.479154
Iteración 543	 Error de entrenamiento: 0.479154
Iteración 544	 Error de entrenamiento: 0.479154
Iteración 545	 Error de entrenamiento: 0.479154
Iteración 546	 Error de entrenamiento: 0.479155
Iteración 547	 Error de entrenamiento: 0.479155
Iteración 548	 Error de entrenamiento: 0.479155
Iteración 549	 Error de entrenamiento: 0.479155
Iteración 550	 Error de entrenamiento: 0.479155
Iteración 551	 Error de entrenamiento: 0.479156
Iteración 552	 Error de entrenamiento: 0.479156
Iteración 553	 Error de entrenamiento: 0.479156
Iteración 554	 Error de entrenamiento: 0.479156
