**********
SEMILLA 10
**********
Iteración 516	 Error de entrenamiento: 0,0230547
Iteración 517	 Error de entrenamiento: 0,023044
Iteración 518	 Error de entrenamiento: 0,0230332
Iteración 519	 Error de entrenamiento: 0,0230222
Iteración 520	 Error de entrenamiento: 0,0230111
Iteración 521	 Error de entrenamiento: 0,0229998
Iteración 522	 Error de entrenamiento: 0,0229883
Iteración 523	 Error de entrenamiento: 0,0229765
Iteración 524	 Error de entrenamiento: 0,0229645
Iteración 525	 Error de entrenamiento: 0,0229522
Iteración 526	 Error de entrenamiento: 0,0229396
Iteración 527	 Error de entrenamiento: 0,0229267
Iteración 528	 Error de entrenamiento: 0,0229134
Iteración 529	 Error de entrenamiento: 0,0228998
Iteración 530	 Error de entrenamiento: 0,0228858
Iteración 531	 Error de entrenamiento: 0,0228714
Iteración 532	 Error de entrenamiento: 0,0228566
Iteración 533	 Error de entrenamiento: 0,0228415
Iteración 534	 Error de entrenamiento: 0,0228259
Iteración 535	 Error de entrenamiento: 0,0228099
Iteración 536	 Error de entrenamiento: 0,0227935
Iteración 537	 Error de entrenamiento: 0,0227767
Iteración 538	 Error de entrenamiento: 0,0227594
Iteración 539	 Error de entrenamiento: 0,0227417
Iteración 540	 Error de entrenamiento: 0,0227237
Iteración 541	 Error de entrenamiento: 0,0227051
Iteración 542	 Error de entrenamiento: 0,0226862
Iteración 543	 Error de entrenamiento: 0,0226669
Iteración 544	 Error de entrenamiento: 0,0226472
Iteración 545	 Error de entrenamiento: 0,0226271
Iteración 546	 Error de entrenamiento: 0,0226066
Iteración 547	 Error de entrenamiento: 0,0225858
Iteración 548	 Error de entrenamiento: 0,0225646
Iteración 549	 Error de entrenamiento: 0,0225431
Iteración 550	 Error de entrenamiento: 0,0225212
Iteración 551	 Error de entrenamiento: 0,0224991
Iteración 552	 Error de entrenamiento: 0,0224766
Iteración 553	 Error de entrenamiento: 0,0224538
Iteración 554	 Error de entrenamiento: 0,0224308
Iteración 555	 Error de entrenamiento: 0,0224076
Iteración 556	 Error de entrenamiento: 0,0223841
Iteración 557	 Error de entrenamiento: 0,0223604
Iteración 558	 Error de entrenamiento: 0,0223365
Iteración 559	 Error de entrenamiento: 0,0223124
Iteración 560	 Error de entrenamiento: 0,0222881
