**********
SEMILLA 10
**********
Iteración 424	 Error de entrenamiento: 0,00710199
Iteración 425	 Error de entrenamiento: 0,00708465
Iteración 426	 Error de entrenamiento: 0,00706741
Iteración 427	 Error de entrenamiento: 0,00705028
Iteración 428	 Error de entrenamiento: 0,00703323
Iteración 429	 Error de entrenamiento: 0,00701628
Iteración 430	 Error de entrenamiento: 0,0069994
Iteración 431	 Error de entrenamiento: 0,00698261
Iteración 432	 Error de entrenamiento: 0,00696589
Iteración 433	 Error de entrenamiento: 0,00694924
Iteración 434	 Error de entrenamiento: 0,00693265
Iteración 435	 Error de entrenamiento: 0,00691612
Iteración 436	 Error de entrenamiento: 0,00689965
Iteración 437	 Error de entrenamiento: 0,00688324
Iteración 438	 Error de entrenamiento: 0,00686688
Iteración 439	 Error de entrenamiento: 0,00685056
Iteración 440	 Error de entrenamiento: 0,00683429
Iteración 441	 Error de entrenamiento: 0,00681806
Iteración 442	 Error de entrenamiento: 0,00680188
Iteración 443	 Error de entrenamiento: 0,00678572
Iteración 444	 Error de entrenamiento: 0,00676961
Iteración 445	 Error de entrenamiento: 0,00675353
Iteración 446	 Error de entrenamiento: 0,00673748
Iteración 447	 Error de entrenamiento: 0,00672146
Iteración 448	 Error de entrenamiento: 0,00670548
Iteración 449	 Error de entrenamiento: 0,00668952
Iteración 450	 Error de entrenamiento: 0,0066736
Iteración 451	 Error de entrenamiento: 0,0066577
Iteración 452	 Error de entrenamiento: 0,00664183
Iteración 453	 Error de entrenamiento: 0,00662599
Iteración 454	 Error de entrenamiento: 0,00661018
Iteración 455	 Error de entrenamiento: 0,00659439
Iteración 456	 Error de entrenamiento: 0,00657864
Iteración 457	 Error de entrenamiento: 0,00656293
Iteración 458	 Error de entrenamiento: 0,00654724
Iteración 459	 Error de entrenamiento: 0,00653159
Iteración 460	 Error de entrenamiento: 0,00651598
Iteración 461	 Error de entrenamiento: 0,0065004
Iteración 462	 Error de entrenamiento: 0,00648486
Iteración 463	 Error de entrenamiento: 0,00646937
Iteración 464	 Error de entrenamiento: 0,00645392
Iteración 465	 Error de entrenamiento: 0,00643851
Iteración 466	 Error de entrenamiento: 0,00642316
Iteración 467	 Error de entrenamiento: 0,00640786
Iteración 468	 Error de entrenamiento: 0,00639261
Iteración 469	 Error de entrenamiento: 0,00637742
Iteración 470	 Error de entrenamiento: 0,00636229
Iteración 471	 Error de entrenamiento: 0,00634722
Iteración 472	 Error de entrenamiento: 0,00633222
Iteración 473	 Error de entrenamiento: 0,00631729
Iteración 474	 Error de entrenamiento: 0,00630244
Iteración 475	 Error de entrenamiento: 0,00628765
Iteración 476	 Error de entrenamiento: 0,00627295
Iteración 477	 Error de entrenamiento: 0,00625833
Iteración 478	 Error de entrenamiento: 0,00624379
Iteración 479	 Error de entrenamiento: 0,00622934
Iteración 480	 Error de entrenamiento: 0,00621497
Iteración 481	 Error de entrenamiento: 0,0062007
Iteración 482	 Error de entrenamiento: 0,00618653
Iteración 483	 Error de entrenamiento: 0,00617245
Iteración 484	 Error de entrenamiento: 0,00615847
Iteración 485	 Error de entrenamiento: 0,0061446
Iteración 486	 Error de entrenamiento: 0,00613083
Iteración 487	 Error de entrenamiento: 0,00611716
Iteración 488	 Error de entrenamiento: 0,0061036
Iteración 489	 Error de entrenamiento: 0,00609015
Iteración 490	 Error de entrenamiento: 0,0060768
Iteración 491	 Error de entrenamiento: 0,00606357
Iteración 492	 Error de entrenamiento: 0,00605044
Iteración 493	 Error de entrenamiento: 0,00603743
Iteración 494	 Error de entrenamiento: 0,00602453
Iteración 495	 Error de entrenamiento: 0,00601174
Iteración 496	 Error de entrenamiento: 0,00599906
Iteración 497	 Error de entrenamiento: 0,00598649
Iteración 498	 Error de entrenamiento: 0,00597403
Iteración 499	 Error de entrenamiento: 0,00596167
Iteración 500	 Error de entrenamiento: 0,00594942
